idx	route	width	pref	http	dom_bytes	dom_sha256	shot_bytes
001	/	375	no-preference	307	69697	0ad497820f695ac51c6d732502857d66d23f34f6f8a271e9bd879824f36141b6	44140
002	/	768	no-preference	307	69697	314f89f4436a2077ccb4243416753c186419478896d7e0223589a0e1e04aef8d	67908
003	/	1024	no-preference	307	69697	4669738d0f238051608afa721f59bcf035bb9fceab6e4e87e4d5fad6568663ae	94361
004	/	1440	no-preference	307	69697	13d772f478f4251cb8fdb443eb3a88ec6760cf60bee5d3c603b19b950c230832	107215
005	/	375	reduce	307	69697	614665ccdf88142a20ff9c57c4b93fa977c9b92bdc15082a055346f59daf8d5e	44140
006	/	768	reduce	307	69697	95f658487e7fef12e327c67a24ce1b2c659de94f36193686fae372fc9864e19d	67908
007	/	1024	reduce	307	69697	b16b65c50271b3462b950844936f80310f3388f3ebcdd3d065bd46f0f4e45164	94039
008	/	1440	reduce	307	69697	0f9b00255131cad3855b9db7cdf8108876ee8e6bf6acbb222e6adb2f7088d5c7	107832
009	/login	375	no-preference	200	17076	21314546ef23409ba3a3831635dfa1c628800c94680f2ca269cf096151ad2254	32283
010	/login	768	no-preference	200	17076	7a60aa274d71c947012959a1f631657150d176d1f5ca54059a2c490e863ae2d4	40307
011	/login	1024	no-preference	200	17076	8e4434ec387fbffc3c88dfe1a193d43c3cf9ab906d5842fa963ab943fd81e9e9	41604
012	/login	1440	no-preference	200	17076	fe36a0959b443b5c4cb9a744be06d46fb8bb1d8b44dc434e1831456306dbbe31	43463
013	/login	375	reduce	200	17076	237c1ae7332f6b892219448f144400941c5ade070ad70734929acf1d7bcd36e9	32781
014	/login	768	reduce	200	17076	e8030d1515d7868b7e7c650cfa55e671a2165e626aeb1236980a334eb32e5ea2	40853
015	/login	1024	reduce	200	17076	4e10f5f626af95adef485cae2d0f9fb9e21f9cbb6090704332e506a5226d048b	42253
016	/login	1440	reduce	200	17076	eeaebf0b5652245a12de69ebe967a4439be2599758aa4b4166d5e52274ec0271	43943
017	/dashboard	375	no-preference	200	69697	b598fbac6d3d441c5870acf2822c962d27b795221dd98beeda90cf128baf0131	44140
018	/dashboard	768	no-preference	200	69697	30fda489a3bd7e1ec952eb3670b8089f3e30a7d2b43839b849dca470bee185e3	67908
019	/dashboard	1024	no-preference	200	69697	dd3b6acd899cd44885b2834cb0bca63b7aee75f2080a1122a7a788fa53337577	94361
020	/dashboard	1440	no-preference	200	69697	e981e35c189c5298abcd8acb5188723bebb3086163c8d7faf8b0b630ad7f03fa	107215
021	/dashboard	375	reduce	200	69697	a0b6e79ad85a104e39e528a22570a64af44073ff2ecd0a3850cdf51461251d39	44140
022	/dashboard	768	reduce	200	69697	afbdc982dae5ccc83aa299fdf6ced9c7cade1c90ef80d9f7f03f2e0d267ff495	67908
023	/dashboard	1024	reduce	200	69697	5e41321fc8d562e81cb6be565bacb1e7a66f2806ef451d804359cb7e27b60d3a	94039
024	/dashboard	1440	reduce	200	69697	eb09537a52465c06a457d99bb6a0296ddc0dadd21a9fd1c93e8dc9d344807fb9	107832
025	/quests	375	no-preference	200	44132	12194e70c22f875942c34df4c63d1f1b9895d232e064da74b9e3c10cea20559e	49358
026	/quests	768	no-preference	200	44132	5f1b987d632ce7e34491664e36728ca02af9782d57e986532c190340641ae086	56726
027	/quests	1024	no-preference	200	44132	f25998319e3309ab06636aae890aad367c9bd907e82a3062ddd1c56984204961	67067
028	/quests	1440	no-preference	200	44132	6446d794b15b3bbc0bd70cad6215e7642e57e399d437e02c5d43f707d0b6c5e0	78621
029	/quests	375	reduce	200	44132	5cd27d69feb56435d21ab677fbb943e78182b4455bc588aaf3b6d423a041bbb1	49523
030	/quests	768	reduce	200	44132	2d55cba17943a7be6fddbce0cb430a63884fc8bfb6105fe0ce5ae34c2fa7285a	56726
031	/quests	1024	reduce	200	44132	458249a9b358b9116ff9984f0b4451565446c67a64508484501e151b669162b7	66848
032	/quests	1440	reduce	200	44132	81d93b3ccbaa3f56548bd77bfecfb13cb479a4820de8f6af9b49b9922753d76c	79334
033	/skills	375	no-preference	200	63483	c44e15a0465b31b6bcbb58b31921d33f3f0ad9e5635b5adab547f74c52ef9641	40426
034	/skills	768	no-preference	200	63739	d09f823d937c20c6742fe9966d90f5ed54169a84c587541bac6aa4358e61033b	54804
035	/skills	1024	no-preference	200	63729	b85e36489d75dd441124439f929af38f9fee4c0de2d3fd612dd8c6e4119dfcf7	78365
036	/skills	1440	no-preference	200	63736	1eaefba29fd1df703275a6da4d858ed24ec3f2291dfe36e235fd9d80d9cd1ddd	94164
037	/skills	375	reduce	200	63736	1bf21cdc4e8444891a22c0548122f11e75fca1968f7c1ef18d6d78521b945bdd	19381
038	/skills	768	reduce	200	63739	0d3bd8c2038832d865fb1d0fdd70bc82009db44672bd7a2b25053b4f5af662fe	28365
039	/skills	1024	reduce	200	63729	7303dfcc9e0b638cef8685e686b2aa707c318329314b7faa7d06104d1c6fa78e	49223
040	/skills	1440	reduce	200	63736	a460ec471c16eb5fc5a0a662242a96a44327ffe1f32fda1a965bfa4b0f5199eb	62496
041	/skills?view=table	375	no-preference	200	46856	d3d125bf7eb93b3c070071031433b7427bbfe2e543feb99b65002afdc3420886	30821
042	/skills?view=table	768	no-preference	200	46856	1a85e9b487df4cb959931e1d9ee52e2221a27a8ad3a0d8da584b7a9cc7f7b0af	46648
043	/skills?view=table	1024	no-preference	200	46856	a952080e38f03063d05b6aa2473e33567de3e600cfe7ac90d5ec946e19412ce8	65512
044	/skills?view=table	1440	no-preference	200	46856	5988d7d5a9b7728410b80ed56523c7eb5d47ba8aafa0d4a1847c9f73841844f3	79246
045	/skills?view=table	375	reduce	200	46856	2466caa6f4f084a5557be788fd8a0034e8e93b631dbb154262f07a19bc1679a9	30821
046	/skills?view=table	768	reduce	200	46856	705643e0a41bdfaccb696830fcfe6b7b1437c39668053756604c5690244f347f	46648
047	/skills?view=table	1024	reduce	200	46856	402e453f968a87e2a6f8d09de32cd4615fdcbb69e46790cefc8a3329c802599b	65247
048	/skills?view=table	1440	reduce	200	46856	d841f61a0d7e00f4cd67f7d39bc976fc84501832ec9311e26402c3e217ea1c08	79867
049	/knowledge	375	no-preference	200	50363	c74e11dd71883b3f5d659052fa8470afcef9035b089164327b34fef166663c6a	36372
050	/knowledge	768	no-preference	200	50363	e5511c27fd0f7c8b2245200d0fc6a334d2d89b8257b55ba3a3e2e3644e00c28c	42951
051	/knowledge	1024	no-preference	200	50363	806c55ac11865637b519c25827dbd92232dad0a06288da774178b7787842300a	84571
052	/knowledge	1440	no-preference	200	50363	785c0e3de4de95ad08c70a2c70f219d6220024ff66d903445a8f2acfde936ff2	96437
053	/knowledge	375	reduce	200	50363	79e34d0940fa3518aae0425df408505b7954103d5d313763253ac09ae4520736	36406
054	/knowledge	768	reduce	200	50363	34d031ea05c710b046a453fffb47aa116f63da3c7360ea61c3f2211f99d399b4	42923
