idx	route	width	motion	auth	resolvedPath	overflowDiff	consoleErrors	status
001	/	375	no-preference	authenticated	/dashboard	0	0	PASS
002	/	375	reduce	authenticated	/dashboard	0	0	PASS
003	/	768	no-preference	authenticated	/dashboard	0	0	PASS
004	/	768	reduce	authenticated	/dashboard	0	0	PASS
005	/	1024	no-preference	authenticated	/dashboard	0	0	PASS
006	/	1024	reduce	authenticated	/dashboard	0	0	PASS
007	/	1440	no-preference	authenticated	/dashboard	0	0	PASS
008	/	1440	reduce	authenticated	/dashboard	0	0	PASS
009	/login	375	no-preference	unauthenticated	/login	0	0	PASS
010	/login	375	reduce	unauthenticated	/login	0	0	PASS
011	/login	768	no-preference	unauthenticated	/login	0	0	PASS
012	/login	768	reduce	unauthenticated	/login	0	0	PASS
013	/login	1024	no-preference	unauthenticated	/login	0	0	PASS
014	/login	1024	reduce	unauthenticated	/login	0	0	PASS
015	/login	1440	no-preference	unauthenticated	/login	0	0	PASS
016	/login	1440	reduce	unauthenticated	/login	0	0	PASS
017	/dashboard	375	no-preference	authenticated	/dashboard	0	0	PASS
018	/dashboard	375	reduce	authenticated	/dashboard	0	0	PASS
019	/dashboard	768	no-preference	authenticated	/dashboard	0	0	PASS
020	/dashboard	768	reduce	authenticated	/dashboard	0	0	PASS
021	/dashboard	1024	no-preference	authenticated	/dashboard	0	0	PASS
022	/dashboard	1024	reduce	authenticated	/dashboard	0	0	PASS
023	/dashboard	1440	no-preference	authenticated	/dashboard	0	0	PASS
024	/dashboard	1440	reduce	authenticated	/dashboard	0	0	PASS
025	/quests	375	no-preference	authenticated	/quests	0	0	PASS
026	/quests	375	reduce	authenticated	/quests	0	0	PASS
027	/quests	768	no-preference	authenticated	/quests	0	0	PASS
028	/quests	768	reduce	authenticated	/quests	0	0	PASS
029	/quests	1024	no-preference	authenticated	/quests	0	0	PASS
030	/quests	1024	reduce	authenticated	/quests	0	0	PASS
031	/quests	1440	no-preference	authenticated	/quests	0	0	PASS
032	/quests	1440	reduce	authenticated	/quests	0	0	PASS
033	/skills	375	no-preference	authenticated	/skills	0	0	PASS
034	/skills	375	reduce	authenticated	/skills	0	0	PASS
035	/skills	768	no-preference	authenticated	/skills	0	0	PASS
036	/skills	768	reduce	authenticated	/skills	0	0	PASS
037	/skills	1024	no-preference	authenticated	/skills	0	0	PASS
038	/skills	1024	reduce	authenticated	/skills	0	0	PASS
039	/skills	1440	no-preference	authenticated	/skills	0	0	PASS
040	/skills	1440	reduce	authenticated	/skills	0	0	PASS
041	/skills?view=table	375	no-preference	authenticated	/skills?view=table	0	0	PASS
042	/skills?view=table	375	reduce	authenticated	/skills?view=table	0	0	PASS
043	/skills?view=table	768	no-preference	authenticated	/skills?view=table	0	0	PASS
044	/skills?view=table	768	reduce	authenticated	/skills?view=table	0	0	PASS
045	/skills?view=table	1024	no-preference	authenticated	/skills?view=table	0	0	PASS
046	/skills?view=table	1024	reduce	authenticated	/skills?view=table	0	0	PASS
047	/skills?view=table	1440	no-preference	authenticated	/skills?view=table	0	0	PASS
048	/skills?view=table	1440	reduce	authenticated	/skills?view=table	0	0	PASS
049	/knowledge	375	no-preference	authenticated	/knowledge	0	0	PASS
050	/knowledge	375	reduce	authenticated	/knowledge	0	0	PASS
051	/knowledge	768	no-preference	authenticated	/knowledge	0	0	PASS
052	/knowledge	768	reduce	authenticated	/knowledge	0	0	PASS
053	/knowledge	1024	no-preference	authenticated	/knowledge	0	0	PASS
054	/knowledge	1024	reduce	authenticated	/knowledge	0	0	PASS
055	/knowledge	1440	no-preference	authenticated	/knowledge	0	0	PASS
056	/knowledge	1440	reduce	authenticated	/knowledge	0	0	PASS
057	/knowledge?view=table	375	no-preference	authenticated	/knowledge?view=table	0	0	PASS
058	/knowledge?view=table	375	reduce	authenticated	/knowledge?view=table	0	0	PASS
059	/knowledge?view=table	768	no-preference	authenticated	/knowledge?view=table	0	0	PASS
060	/knowledge?view=table	768	reduce	authenticated	/knowledge?view=table	0	0	PASS
061	/knowledge?view=table	1024	no-preference	authenticated	/knowledge?view=table	0	0	PASS
062	/knowledge?view=table	1024	reduce	authenticated	/knowledge?view=table	0	0	PASS
063	/knowledge?view=table	1440	no-preference	authenticated	/knowledge?view=table	0	0	PASS
064	/knowledge?view=table	1440	reduce	authenticated	/knowledge?view=table	0	0	PASS
065	/artifacts	375	no-preference	authenticated	/artifacts	0	0	PASS
066	/artifacts	375	reduce	authenticated	/artifacts	0	0	PASS
067	/artifacts	768	no-preference	authenticated	/artifacts	0	0	PASS
068	/artifacts	768	reduce	authenticated	/artifacts	0	0	PASS
069	/artifacts	1024	no-preference	authenticated	/artifacts	0	0	PASS
070	/artifacts	1024	reduce	authenticated	/artifacts	0	0	PASS
071	/artifacts	1440	no-preference	authenticated	/artifacts	0	0	PASS
072	/artifacts	1440	reduce	authenticated	/artifacts	0	0	PASS
