cell_id	route	width	motion	auth	scroll_w	client_w	overflow_px	console_errors	status
cell_001_root_375_no-preference	/	375	no-preference	authenticated	375	375	0	0	PASS
cell_002_root_375_reduce	/	375	reduce	authenticated	375	375	0	0	PASS
cell_003_root_768_no-preference	/	768	no-preference	authenticated	753	753	0	0	PASS
cell_004_root_768_reduce	/	768	reduce	authenticated	753	753	0	0	PASS
cell_005_root_1024_no-preference	/	1024	no-preference	authenticated	1009	1009	0	0	PASS
cell_006_root_1024_reduce	/	1024	reduce	authenticated	1009	1009	0	0	PASS
cell_007_root_1440_no-preference	/	1440	no-preference	authenticated	1425	1425	0	0	PASS
cell_008_root_1440_reduce	/	1440	reduce	authenticated	1425	1425	0	0	PASS
cell_009_login_375_no-preference	/login	375	no-preference	unauthenticated	375	375	0	0	PASS
cell_010_login_375_reduce	/login	375	reduce	unauthenticated	375	375	0	0	PASS
cell_011_login_768_no-preference	/login	768	no-preference	unauthenticated	768	768	0	0	PASS
cell_012_login_768_reduce	/login	768	reduce	unauthenticated	768	768	0	0	PASS
cell_013_login_1024_no-preference	/login	1024	no-preference	unauthenticated	1024	1024	0	0	PASS
cell_014_login_1024_reduce	/login	1024	reduce	unauthenticated	1024	1024	0	0	PASS
cell_015_login_1440_no-preference	/login	1440	no-preference	unauthenticated	1440	1440	0	0	PASS
cell_016_login_1440_reduce	/login	1440	reduce	unauthenticated	1440	1440	0	0	PASS
cell_017_dashboard_375_no-preference	/dashboard	375	no-preference	authenticated	375	375	0	0	PASS
cell_018_dashboard_375_reduce	/dashboard	375	reduce	authenticated	375	375	0	0	PASS
cell_019_dashboard_768_no-preference	/dashboard	768	no-preference	authenticated	753	753	0	0	PASS
cell_020_dashboard_768_reduce	/dashboard	768	reduce	authenticated	753	753	0	0	PASS
cell_021_dashboard_1024_no-preference	/dashboard	1024	no-preference	authenticated	1009	1009	0	0	PASS
cell_022_dashboard_1024_reduce	/dashboard	1024	reduce	authenticated	1009	1009	0	0	PASS
cell_023_dashboard_1440_no-preference	/dashboard	1440	no-preference	authenticated	1425	1425	0	0	PASS
cell_024_dashboard_1440_reduce	/dashboard	1440	reduce	authenticated	1425	1425	0	0	PASS
cell_025_quests_375_no-preference	/quests	375	no-preference	authenticated	375	375	0	0	PASS
cell_026_quests_375_reduce	/quests	375	reduce	authenticated	375	375	0	0	PASS
cell_027_quests_768_no-preference	/quests	768	no-preference	authenticated	768	768	0	0	PASS
cell_028_quests_768_reduce	/quests	768	reduce	authenticated	768	768	0	0	PASS
cell_029_quests_1024_no-preference	/quests	1024	no-preference	authenticated	1024	1024	0	0	PASS
cell_030_quests_1024_reduce	/quests	1024	reduce	authenticated	1024	1024	0	0	PASS
cell_031_quests_1440_no-preference	/quests	1440	no-preference	authenticated	1440	1440	0	0	PASS
cell_032_quests_1440_reduce	/quests	1440	reduce	authenticated	1440	1440	0	0	PASS
