idx	route	width	pref	final_path	doc_w	scroll_w	overflow	running_anim	rf_nodes	console_err	shot_bytes
001	/	375	no-preference	/dashboard	375	375	0	0	0	0	49078
002	/	375	reduce	/dashboard	375	375	0	0	0	0	49078
003	/	768	no-preference	/dashboard	768	768	0	0	0	0	64968
004	/	768	reduce	/dashboard	768	768	0	0	0	0	64968
005	/	1024	no-preference	/dashboard	1009	1009	0	0	0	0	97073
006	/	1024	reduce	/dashboard	1009	1009	0	0	0	0	97073
007	/	1440	no-preference	/dashboard	1425	1425	0	0	0	0	104797
008	/	1440	reduce	/dashboard	1425	1425	0	0	0	0	104797
009	/login	375	no-preference	/dashboard	375	375	0	0	0	0	49078
010	/login	375	reduce	/dashboard	375	375	0	0	0	0	49078
011	/login	768	no-preference	/dashboard	768	768	0	0	0	0	64968
012	/login	768	reduce	/dashboard	768	768	0	0	0	0	64968
013	/login	1024	no-preference	/dashboard	1009	1009	0	0	0	0	97073
014	/login	1024	reduce	/dashboard	1009	1009	0	0	0	0	97073
015	/login	1440	no-preference	/dashboard	1425	1425	0	0	0	0	104797
016	/login	1440	reduce	/dashboard	1425	1425	0	0	0	0	104797
017	/dashboard	375	no-preference	/dashboard	375	375	0	0	0	0	49078
018	/dashboard	375	reduce	/dashboard	375	375	0	0	0	0	49078
019	/dashboard	768	no-preference	/dashboard	768	768	0	0	0	0	64968
020	/dashboard	768	reduce	/dashboard	768	768	0	0	0	0	64968
021	/dashboard	1024	no-preference	/dashboard	1009	1009	0	0	0	0	97073
022	/dashboard	1024	reduce	/dashboard	1009	1009	0	0	0	0	97073
023	/dashboard	1440	no-preference	/dashboard	1425	1425	0	0	0	0	104797
024	/dashboard	1440	reduce	/dashboard	1425	1425	0	0	0	0	104797
025	/quests	375	no-preference	/quests	375	375	0	0	0	0	52886
026	/quests	375	reduce	/quests	375	375	0	0	0	0	52886
027	/quests	768	no-preference	/quests	768	768	0	0	0	0	55401
028	/quests	768	reduce	/quests	768	768	0	0	0	0	55401
029	/quests	1024	no-preference	/quests	1024	1024	0	0	0	0	72840
030	/quests	1024	reduce	/quests	1024	1024	0	0	0	0	72840
031	/quests	1440	no-preference	/quests	1440	1440	0	0	0	0	76386
032	/quests	1440	reduce	/quests	1440	1440	0	0	0	0	76386
033	/skills	375	no-preference	/skills	375	375	0	0	3	0	44162
034	/skills	375	reduce	/skills	375	375	0	0	3	0	44231
035	/skills	768	no-preference	/skills	768	768	0	0	3	0	58328
036	/skills	768	reduce	/skills	768	768	0	0	3	0	58328
037	/skills	1024	no-preference	/skills	1024	1024	0	0	3	0	82465
038	/skills	1024	reduce	/skills	1024	1024	0	0	3	0	82510
039	/skills	1440	no-preference	/skills	1440	1440	0	0	3	0	87963
040	/skills	1440	reduce	/skills	1440	1440	0	0	3	0	87963
041	/skills?view=table	375	no-preference	/skills?view=table	375	375	0	0	0	0	33234
042	/skills?view=table	375	reduce	/skills?view=table	375	375	0	0	0	0	33234
043	/skills?view=table	768	no-preference	/skills?view=table	768	768	0	0	0	0	44283
044	/skills?view=table	768	reduce	/skills?view=table	768	768	0	0	0	0	44283
045	/skills?view=table	1024	no-preference	/skills?view=table	1024	1024	0	0	0	0	68204
046	/skills?view=table	1024	reduce	/skills?view=table	1024	1024	0	0	0	0	68204
047	/skills?view=table	1440	no-preference	/skills?view=table	1440	1440	0	0	0	0	78532
048	/skills?view=table	1440	reduce	/skills?view=table	1440	1440	0	0	0	0	78532
049	/knowledge	375	no-preference	/knowledge	375	375	0	0	3	0	36650
050	/knowledge	375	reduce	/knowledge	375	375	0	0	3	0	36648
051	/knowledge	768	no-preference	/knowledge	768	768	0	0	3	0	51189
052	/knowledge	768	reduce	/knowledge	768	768	0	0	3	0	51192
053	/knowledge	1024	no-preference	/knowledge	1024	1024	0	0	3	0	99740
054	/knowledge	1024	reduce	/knowledge	1024	1024	0	0	3	0	99741
055	/knowledge	1440	no-preference	/knowledge	1440	1440	0	0	3	0	112356
056	/knowledge	1440	reduce	/knowledge	1440	1440	0	0	3	0	112357
057	/knowledge?view=table	375	no-preference	/knowledge?view=table	375	375	0	0	0	0	36626
058	/knowledge?view=table	375	reduce	/knowledge?view=table	375	375	0	0	0	0	36626
059	/knowledge?view=table	768	no-preference	/knowledge?view=table	768	768	0	0	0	0	47765
060	/knowledge?view=table	768	reduce	/knowledge?view=table	768	768	0	0	0	0	47765
061	/knowledge?view=table	1024	no-preference	/knowledge?view=table	1024	1024	0	0	0	0	91853
062	/knowledge?view=table	1024	reduce	/knowledge?view=table	1024	1024	0	0	0	0	91851
063	/knowledge?view=table	1440	no-preference	/knowledge?view=table	1440	1440	0	0	0	0	102488
064	/knowledge?view=table	1440	reduce	/knowledge?view=table	1440	1440	0	0	0	0	102486
065	/artifacts	375	no-preference	/artifacts	375	375	0	0	0	0	33801
066	/artifacts	375	reduce	/artifacts	375	375	0	0	0	0	33801
067	/artifacts	768	no-preference	/artifacts	768	768	0	0	0	0	37462
068	/artifacts	768	reduce	/artifacts	768	768	0	0	0	0	37462
069	/artifacts	1024	no-preference	/artifacts	1009	1009	0	0	0	0	68827
070	/artifacts	1024	reduce	/artifacts	1009	1009	0	0	0	0	68827
071	/artifacts	1440	no-preference	/artifacts	1425	1425	0	0	0	0	72968
072	/artifacts	1440	reduce	/artifacts	1425	1425	0	0	0	0	72968
